Link,Cover,Title,Short Title,Chinese Title,Status,Author,Genre,Tags
https://www.mtlnovel.com/dont-wait-for-your-boyfriend-in-the-crematorium/,https://www.mtlnovel.net/uploads/2022/08/don-t-wait-for-your-boyfriend-in-the-crematorium-180x240.jpg.webp,Don’t Wait for Your Boyfriend in the Crematorium,DWYBFIC,不要在火葬场里等男朋友,Completed,刻舟求偶,"Comedy, Drama, Fantasy, Romance, Yaoi","Acting, Amnesia, Bisexual Protagonist, Carefree Protagonist, Celebrities, Childhood Friends, Doting Love Interests, Omegaverse, Personality Changes, Seme Protagonist, System Administrator, Transmigration, World Hopping"
https://www.mtlnovel.com/i-thought-i-got-the-redemption-script/,https://www.mtlnovel.net/uploads/2022/08/i-thought-i-got-the-redemption-script-180x240.jpg.webp,I Thought I Got the Redemption Script,ITIGRS,我以为我拿的救赎剧本,Completed,from Wen,Comedy,"Cultivation, Female Protagonist, Sects, Transmigration"
https://www.mtlnovel.com/this-option-is-fantastic/,https://www.mtlnovel.net/uploads/2022/08/this-option-is-fantastic-180x240.jpg.webp,This Option is Fantastic,TOF,这个选择太棒了,Completed,fire in september,Urban Life,"Cultivation, Male Protagonist, Martial arts, System, System Administrator, Younger Sisters"
https://www.mtlnovel.com/spouse-selection-criteria/,https://www.mtlnovel.net/uploads/2022/08/spouse-selection-criteria-wearing-books-180x240.jpg.webp,Spouse Selection Criteria,SSCB,择偶标准[穿书],Completed,Miss Mochi,Yuri,"Acting, Beautiful Female Lead, Business Management, Entertainment Circle, Gentle Protagonist, Modern Day, Sweet, Transmigration, Tsundere Love Interest, Wealthy Characters"
https://www.mtlnovel.com/i-ran-away-after-i-online-dated-the-slag-marshal/,https://www.mtlnovel.net/uploads/2022/08/i-ran-away-after-i-online-dated-the-slag-marshal-180x240.jpg.webp,I Ran Away After I Online-dated the Slag Marshal,IRAAIDSM,网恋渣了星际元帅后我跑路了,Completed,Zhi Tang,"Adult, Drama, Fantasy, Romance, Yaoi","Body Swap, Cold Love Interests, Comedic Undertone, Cute Children, Doting Love Interests, Love Interest Falls in Love First, Misunderstandings, Modern Day, Mpreg, Shameless Protagonist, Showbiz, Transmigration"
https://www.mtlnovel.com/female-partner-became-popular-in-a-love-show/,https://www.mtlnovel.net/uploads/2022/08/female-partner-became-popular-in-a-love-show-180x240.jpg.webp,Female Partner Became Popular in a Love Show,FPBPILS,路人女配，恋综爆红,Completed,禾理,"Drama, Fantasy, Romance","Female Protagonist, Love Interest Falls in Love First, Modern Day, Showbiz, Transmigration"
https://www.mtlnovel.com/the-blind-date-went-to-the-wrong-room-but-was-confessed-by-the-other-party/,https://www.mtlnovel.net/uploads/2022/08/the-blind-date-went-to-the-wrong-room-but-was-confessed-by-the-other-party-180x240.jpg.webp,"The Blind Date Went To the Wrong Room, But Was Confessed By the Other Party",TBDWTWRBWCBOP,相亲走错房间，却被对方表白了,Completed,Three chapters a day,Urban Life,"Early Romance, Handsome Male Lead, Male Protagonist, Slow Romance, System, Teachers"
https://www.mtlnovel.com/the-demon-lord-of-the-shadow-queen/,https://www.mtlnovel.net/uploads/2022/08/the-demon-lord-of-the-shadow-queen-traveling-180x240.jpg.webp,The Demon Lord of the Shadow Queen,TDLSQ,影后的魔教教主[穿越],Completed,twilight rain,Yuri,"Beautiful Female Lead, Celebrities, Entertainment, Female Protagonist, Showbiz, Transmigation"
https://www.mtlnovel.com/seventy-koi-the-unlucky-boss-hugged-me-and-cried/,https://www.mtlnovel.net/uploads/2022/08/seventy-koi-the-unlucky-boss-hugged-me-and-cried.jpg.webp,Seventy Koi: The Unlucky Boss Hugged Me and Cried,SKUBHM,七零锦鲤：倒霉大佬抱着我哭了,Completed,暖萌小点心,"Fantasy, Romance","Books, Crossover, Female Protagonist, Magical Space, Transmigration"
https://www.mtlnovel.com/orcs-and-hyena-orcs-are-in-love-with-each-other/,https://www.mtlnovel.net/uploads/2022/08/orcs-and-hyena-orcs-are-in-love-with-each-other-180x240.jpg.webp,Orcs and Hyena Orcs Are In Love with Each Other,OHOAILEO,兽人之跟鬣狗兽人相亲相爱了,Completed,Kasumi Oo Shrimp,Yaoi,"Male Protagonist, Orcs, Transmigration, Tribal Society"
