Link,Cover,Title,Short Title,Chinese Title,Status,Author,Genre,Tags
https://www.mtlnovel.com/i-sign-in-every-day-to-support-the-anchor-wife/,https://www.mtlnovel.net/uploads/2022/03/i-sign-in-every-day-to-support-the-anchor-wife-180x240.jpg.webp,I Sign In Every Day To Support the Anchor Wife,ISIEDTSAW,每日签到的我，养活主播老婆,Hiatus,Liu Fusheng,Urban Life,"Beautiful Female Lead, Harem, Live broadcast, Male Protagonist, Poor to Rich, Sudden Wealth, System, Transmigration"
https://www.mtlnovel.com/empires-start-with-lords/,https://www.mtlnovel.net/uploads/2022/03/Empires-Start-with-Lords-1-180x240.jpg.webp,Empires Start with Lords,ESL,帝国从领主开始,Hiatus,blue morning glory,Fantasy,"Aristocrat, Army Building, Cheats, Demons, Early Romance, Fantasy, Firearms, Industrialization, Kingdom Building, Kingdoms, Knights, Loyal Subordinates, Magic, Modern Knowledge, Multiple POV, Nobles, Orcs, Schemes And Conspiracies, Slaves, System, Transmigration, Wars, Wars Weak to Strong"
https://www.mtlnovel.com/my-cell-can-infinitely-evolve/,https://www.mtlnovel.net/uploads/2022/03/My-Cell-Can-Infinitely-Evolve-180x240.jpg.webp,My Cell Can Infinitely Evolve,MCCIE,我的细胞无限进化,Hiatus,leaves are not green,Sci-fi,"Evolution, Kingdom Building, Male Protagonist, Monsters, Non-humanoid Protagonist, Ruthless Protagonist, System"
https://www.mtlnovel.com/pay-99-yuan-arranging-a-mysterious-funeral-for-you/,https://www.mtlnovel.net/uploads/2022/02/Pay-99-Yuan-Arranging-A-Mysterious-Funeral-For-You-180x240.jpg.webp,Pay 99 Yuan: Arranging A Mysterious Funeral For You,AMFFY,支付九十九元：为你缔造神秘葬礼,Hiatus,hot pot with coriander,Urban Life,"Male Protagonist, Mysterious Past, Racism, Sudden Wealth, System"
https://www.mtlnovel.com/people-in-pirates-start-with-a-god-level-selection-system/,https://www.mtlnovel.net/uploads/2022/02/people-in-pirates-start-with-a-god-level-selection-system-180x240.jpg.webp,People In Pirates Start with a God-level Selection System,PIPSGSS,人在海贼从神级选择系统开始,Hiatus,Avatar Riding a Deer,"Action, Fan-Fiction, Fantasy, Romance","Early Romance, Fan-fiction, Fanfiction, Male Protagonist, One Piece, Pirates, System"
https://www.mtlnovel.com/thriller-game-what-to-do-if-you-look-too-handsome/,https://www.mtlnovel.net/uploads/2022/02/thriller-game-what-to-do-if-you-look-too-handsome-180x240.jpg.webp,Thriller Game: What To Do If You Look Too Handsome,TGWTDIYLTH,惊悚游戏：长得太帅怎么办,Hiatus,Watching ghost movies in the middle of the night,"Action, Harem","Comedic Undertone, Handsome Male Lead, Harem, Harem-seeking Protagonist, horror, Male Protagonist, System"
https://www.mtlnovel.com/kings-kingdom/,https://www.mtlnovel.net/uploads/2022/02/king-s-kingdom-180x240.jpg.webp,King’s Kingdom,KK,国王的王国风云,Hiatus,Emperor Wu of the Han Dynasty,"Fantasy, Xuanhuan","Adultery, Aristocrat, Army Building, Arranged Marriage, Cheats, Cruel Characters, Dragon Slayers, Dragons, Dwarfs, Early Romance, Economics, Elves, Fan-fiction, Fantasy, Fantasy World, Game Elements, Gore, Handsome Male Lead, Kingdom Building, Kingdoms, Knights, Loyal Subordinates, Management, Marriage, Netori, Nobles, Orcs, Overpowered Protagonist, Polygamy, Pregnancy, Rape, Ruthless Protagonist, System, Transmigration, Vampires, Virtual Reality, Wars, Wars Weak to Strong, Werebeasts"
https://www.mtlnovel.com/in-genshin-impact-no-one-understands-holy-relics-better-than-me/,https://www.mtlnovel.net/uploads/2022/02/in-genshin-impact-no-one-understands-holy-relics-better-than-me-180x240.jpg.webp,"In Genshin Impact, No One Understands Holy Relics Better Than Me",IGINOUHRBTM,在原神，没人比我更懂圣遗物,Hiatus,elegant little fox,Fan-Fiction,"Absent Parents, Accelerated Growth, Alchemy, Beast Companions, Beastkin, Beautiful Female Lead, Calm Protagonist, Clever Protagonist, Cold Love Interests, Confident Protagonist, Contracts, Dragons, Elemental Magic, Evil Gods, Evil Organizations, Evil Religions, Famous Protagonist, Fan-fiction, Fanfiction, Fantasy World, Gods, Handjob, Handsome Male Lead, Harem, Harem-seeking Protagonist, Knights, Magical Space, Maids, Male Protagonist, Monsters, Older Love Interests, Phoenixes, R-18, Romantic Subplot, Shameless Protagonist, Strong Love Interests, Transported into a Game World, Weak Protagonist, Weak to Strong"
https://www.mtlnovel.com/i-nine-star-talent-the-strongest-in-the-world/,https://www.mtlnovel.net/uploads/2022/02/i-nine-star-talent-the-strongest-in-the-world-180x240.jpg.webp,"I, Nine-star Talent, the Strongest In the World",INTSIW,我，九星天赋，举世最强/开局签到天罡三十六变,Hiatus,Zhuang Shisan,"Action, Fantasy","Child Protagonist, Fast Cultivation, Hot-blooded Protagonist, Male Protagonist, Martial arts, OP MC, Sign-in, System, Weak to Strong, Wealthy Characters"
https://www.mtlnovel.com/astral-apostle/,https://www.mtlnovel.net/uploads/2022/02/astral-apostle-180x240.jpg.webp,Astral Apostle,AA,星界使徒,Hiatus,Chippejia,"Action, Adventure, Fantasy, Game, Sci-fi","Calm Protagonist, Game Elements, Level System, Male Protagonist, Outer Space, Possession, Special Abilities, Strong from the Start, Superpowers, World Hopping"
https://www.mtlnovel.com/fantasy-this-dead-house-is-suddenly-invincible/,https://www.mtlnovel.net/uploads/2022/02/This-Dead-House-is-Suddenly-Invincible-180x240.jpg.webp,Fantasy: This Dead House is Suddenly Invincible,XTDHSI,玄幻：这个死宅突然无敌了,Hiatus,Shepherd,"Comedy, Fantasy, Harem, Xuanhuan","Adapted to Manhua, Harem, Late Romance, Master-Disciple Relationship, Overpowered Protagonist, Protagonist Strong from the Start, Strong from the Start, System, Transmigration"
https://www.mtlnovel.com/honkai-impact-3rd-play-sky-meteor-at-the-beginning/,https://www.mtlnovel.net/uploads/2022/01/collapse-3-play-sky-meteor-at-the-beginning-180x240.jpg.webp,"Honkai Impact 3rd, Play Sky Meteor at the Beginning",CPSMB,崩坏三，开局播放天穹流星,Hiatus,Grey Stars,Fan-Fiction,"Adapted to Game, Beautiful Female Lead, Fan-fiction, Fanfiction, Honkai Impact, Multiple Protagonists"
https://www.mtlnovel.com/this-kryptonian-is-too-steady/,https://www.mtlnovel.net/uploads/2022/01/this-kryptonian-is-too-stable-180x240.jpg.webp,This Kryptonian is Too Steady,TKTS,这个氪星人实在太稳健了,Hiatus,eat fries without sauce,"Fan-Fiction, Sci-fi","Artificial Intelligence, Cunning Protagonist, Evil Gods, Fanfiction, Genius Protagonist, Gods, Male Protagonist, Marvel, Marvel Universe, Ruthless Protagonist, Shameless Protagonist, Strong from the Start, Strong to Stronger, Superpowers, Transmigration"
https://www.mtlnovel.com/unlimited-games-ten-times-rewards/,https://www.mtlnovel.net/uploads/2022/01/unlimited-games-ten-times-the-rewards-180x240.jpg.webp,Unlimited Games: Ten Times Rewards,UGTTR,无限游戏：十倍奖励,Hiatus,under lolicon i,Fantasy,"Bloodlines, Cheats, First Love, Harem, Harem-seeking Protagonist, Level System, Male Protagonist, Perverted Protagonist, System"
https://www.mtlnovel.com/i-create-a-restricted-area-in-the-immortal-world/,https://www.mtlnovel.net/uploads/2022/01/i-create-a-restricted-area-in-the-immortal-world-180x240.jpg.webp,I Create a Restricted Area In the Immortal World,ICRAIIW,我在修仙界打造禁区,Hiatus,star flame,"Martial Arts, Xianxia","Action, Apathetic Protagonist, Buddhism, Calm Protagonist, Cold Protagonist, Cosmic Wars, Cultivation, Curses, Dao Comprehension, Demons, Dungeon Master, Evil Protagonist, Fast Cultivation, Game Elements, Heaven, Heavenly Tribulation, Hidden Abilities, Hiding True Identity, Overpowered Protagonist, Selfish Protagonist, Slaves, Souls, Strong from the Start, Strong to Stronger, System, System Administrator, Transmigration, World Hopping"
